"Date","FLUXNET site ID","Koppen (climate)","IGBP (vegetation)","Evapotranspiration (mm)","Air temperature (°C)","Shortwave radiation (W/m2)","Longwave radiation (W/m2)","Atmospheric pressure(kPa)","2-m wind speed (m/s)","Relative humidity (%)","Specific humidity (kg/kg)"
2011-01-01,"AU-Rig","Temperate","Grassland",1.91273472869693,27.378125,232.057291666667,405.541666666667,99.144375,1.6392446548498,39.0833333333333,0.00898785786290027
2011-01-02,"AU-Rig","Temperate","Grassland",1.96399779788341,20.1366666666667,396.052083333333,324.208333333333,99.4120833333333,3.11316619811854,51.25,0.00759170763073806
2011-01-03,"AU-Rig","Temperate","Grassland",1.78501500533877,17.9325,400.161458333333,302.625,99.425,3.20117089629857,52.7916666666667,0.00681068655271097
2011-01-04,"AU-Rig","Temperate","Grassland",1.58467742404812,20.48125,366.765625,334.333333333333,99.135625,1.50818051506026,52.4583333333333,0.00796193783785149
2011-01-05,"AU-Rig","Temperate","Grassland",1.50526778895832,20.5983333333333,354.276041666667,336.145833333333,98.8541666666667,2.75784722921668,56.3541666666667,0.00864335275509008
2011-01-06,"AU-Rig","Temperate","Grassland",1.71476652846313,23.535,375.192708333333,353.75,99.0345833333333,1.20267849137815,49.4583333333333,0.00905991435905429
2011-01-07,"AU-Rig","Temperate","Grassland",1.78678507234661,25.88875,274.895833333333,380.854166666667,99.1741666666667,2.30430873109603,47.4791666666667,0.0100037941296652
2011-01-08,"AU-Rig","Temperate","Grassland",1.72626847344174,26.919375,337.901041666667,391.5625,99.1658333333333,2.37062655722454,51.1458333333333,0.0114637780937151
2011-01-09,"AU-Rig","Temperate","Grassland",1.47921593738348,23.8604166666667,188.896958333333,407.354166666667,99.5170833333333,2.54965325752221,68.8958333333333,0.0128373244836905
2011-01-10,"AU-Rig","Temperate","Grassland",1.79369725776675,23.1564583333333,149.4406875,411.270833333333,99.4091666666667,1.43422513833968,78.5,0.0140438909278136
2011-01-11,"AU-Rig","Temperate","Grassland",1.93854718103098,23.025,114.489583333333,417.291666666667,99.1079166666667,2.11871310868421,79.6875,0.0141875474609192
2011-01-12,"AU-Rig","Temperate","Grassland",2.39572019635409,24.3308333333333,86.2864583333333,426.104166666667,98.7345833333333,3.16662905226291,81.5833333333333,0.0157891775209297
2011-01-13,"AU-Rig","Temperate","Grassland",2.62185475470301,24.9989583333333,121.833333333333,433.854166666667,98.803125,2.93016357127811,85.2916666666667,0.0171825826683537
2011-01-14,"AU-Rig","Temperate","Grassland",2.29289402776377,23.0429166666667,123.604166666667,407.0625,98.6472916666667,2.8378686440618,82.3541666666667,0.0147517928138352
2011-01-15,"AU-Rig","Temperate","Grassland",4.47747082157765,24.715625,350.1875,388.770833333333,99.0610416666667,1.02871206122585,69.125,0.0136270912632263
2011-01-16,"AU-Rig","Temperate","Grassland",4.56258407227952,26.2675,365.791666666667,379.708333333333,98.8852083333333,1.41153249830897,59.5625,0.0128943161296501
2011-01-17,"AU-Rig","Temperate","Grassland",3.16420985063901,19.1527083333333,361.453125,330.354166666667,98.8666666666667,3.01667533261401,60.4791666666667,0.0084785374257534
2011-01-18,"AU-Rig","Temperate","Grassland",2.86277895319966,18.0497916666667,383.786458333333,314.645833333333,99.00875,2.62725454316738,62.9791666666667,0.00822662799365107
2011-01-19,"AU-Rig","Temperate","Grassland",2.98268800780233,19.73,379.119791666667,334.145833333333,99.1414583333333,2.29912273995327,58.75,0.00851391924277254
