layer_nr,thickness_m,ends_at_m,sensor,soil_type,sand,clay,Wsat,Wfc,Wwilt,Ksat,Psi_sat,bcoef,dry_density,enclosure_slope,observed_forcing,zusl,ztsl,draindens,deglat,deglng,vf_type
1,0.025,0.025,No sensor,s1,78.48,5.59,0.3269,0.0579,0.0083,2.33e-05,0.307,2.32,1603.03,0.02,height,10.0,1.5,0.0,45.82,-72.37,13
2,0.025,0.05,No sensor,s1,78.48,5.59,0.3269,0.0579,0.0083,2.33e-05,0.307,2.32,1603.03,0.02,height,10.0,1.5,0.0,45.82,-72.37,13
3,0.05,0.1,sensor_75mm,s1,78.48,5.59,0.3269,0.0579,0.0083,2.33e-05,0.307,2.32,1603.03,0.02,height,10.0,1.5,0.0,45.82,-72.37,13
4,0.1,0.2,No sensor,s1,78.48,5.59,0.3269,0.0579,0.0083,2.33e-05,0.307,2.32,1603.03,0.02,height,10.0,1.5,0.0,45.82,-72.37,13
5,0.05,0.25,sensor_225mm,s1,78.48,5.59,0.3269,0.0579,0.0083,2.33e-05,0.307,2.32,1603.03,0.02,height,10.0,1.5,0.0,45.82,-72.37,13
6,0.1,0.35,No sensor,s1,78.48,5.59,0.3269,0.0579,0.0083,2.33e-05,0.307,2.32,1603.03,0.02,height,10.0,1.5,0.0,45.82,-72.37,13
7,0.2,0.55,No sensor,s1,78.48,5.59,0.3269,0.0579,0.0083,2.33e-05,0.307,2.32,1603.03,0.02,height,10.0,1.5,0.0,45.82,-72.37,13
8,0.2,0.75,No sensor,s1,78.48,5.59,0.3269,0.0579,0.0083,2.33e-05,0.307,2.32,1603.03,0.02,height,10.0,1.5,0.0,45.82,-72.37,13
9,0.2,0.95,No sensor,s1,78.48,5.59,0.3269,0.0579,0.0083,2.33e-05,0.307,2.32,1603.03,0.02,height,10.0,1.5,0.0,45.82,-72.37,13
10,0.2,1.15,No sensor,s1,78.48,5.59,0.3269,0.0579,0.0083,2.33e-05,0.307,2.32,1603.03,0.02,height,10.0,1.5,0.0,45.82,-72.37,13
11,0.2,1.3499999999999999,No sensor,s1,78.48,5.59,0.3269,0.0579,0.0083,2.33e-05,0.307,2.32,1603.03,0.02,height,10.0,1.5,0.0,45.82,-72.37,13
12,0.2,1.5499999999999998,No sensor,s1,78.48,5.59,0.3269,0.0579,0.0083,2.33e-05,0.307,2.32,1603.03,0.02,height,10.0,1.5,0.0,45.82,-72.37,13
13,0.175,1.7249999999999999,No sensor,s1,78.48,5.59,0.3269,0.0579,0.0083,2.33e-05,0.307,2.32,1603.03,0.02,height,10.0,1.5,0.0,45.82,-72.37,13
14,0.05,1.775,sensor_1750mm,s1,78.48,5.59,0.3269,0.0579,0.0083,2.33e-05,0.307,2.32,1603.03,0.02,height,10.0,1.5,0.0,45.82,-72.37,13
15,0.125,1.9,sensor_1850mm,s1,78.48,5.59,0.3269,0.0579,0.0083,2.33e-05,0.307,2.32,1603.03,0.02,height,10.0,1.5,0.0,45.82,-72.37,13
